reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
59,65,70,0,0,0,21,13.716531099998974,14.67494749999969,14.67494749999969,14.724845299999288,l,7.732451999996556,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
26,86,57,0,1,1,18,22.4269060000006,23.427309499998955,23.427309499998955,23.427309499998955,l,6.056103700000676,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
8,40,10,0,2,2,8,29.512165599997388,30.512343200000032,30.512343200000032,30.512343200000032,l,4.2385997000019415,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
5,34,20,0,3,3,23,34.78040949999922,35.780589499998314,35.780589499998314,35.780589499998314,l,3.2724006999997073,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
17,56,87,0,4,4,11,39.08150569999998,40.081716900000174,40.081716900000174,40.081716900000174,l,2.855944200000522,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
11,30,7,0,5,5,0,42.96565719999853,43.966186499998,43.966186499998,43.966186499998,l,1.9667609999996785,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
40,55,62,0,6,6,3,45.949591699998564,46.95026379999763,46.95026379999763,46.95026379999763,l,2.602140499999223,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
78,80,162,0,7,7,6,49.58426429999963,50.5846961999996,50.5846961999996,50.5846961999996,t,2.3915516000015486,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
27,50,21,0,8,8,2,53.001578899999004,54.00206569999864,54.00206569999864,54.00206569999864,l,2.392645600000833,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
54,59,121,0,9,9,7,56.419370399999025,57.41961860000083,57.41961860000083,57.41961860000083,l,4.474262700001418,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
9,78,23,0,10,10,15,61.9207929999975,62.9211538999989,62.9211538999989,62.9211538999989,l,1.8922424000011233,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
67,75,119,0,11,11,5,64.83825910000087,65.83860970000023,65.83860970000023,65.83860970000023,l,2.725932699999248,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
19,69,25,0,12,12,10,68.58921779999946,69.58949120000034,69.58949120000034,69.58949120000034,l,1.4417006000003312,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
15,35,13,0,13,13,1,71.05647309999767,72.05701899999985,72.05701899999985,72.05701899999985,l,1.2263106999998854,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
12,78,36,0,14,14,20,73.30718459999844,74.30756629999814,74.30756629999814,74.30756629999814,l,1.2722887999989325,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
49,60,89,0,15,15,4,75.60792170000059,76.59163319999789,76.59163319999789,76.60799539999789,l,1.3927952000012738,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
36,43,50,0,16,16,9,78.00835089999964,79.00871049999841,79.00871049999841,79.00871049999841,l,2.5634857999975793,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
94,98,123,0,17,17,17,81.59277809999912,82.59316249999756,82.59316249999756,82.59316249999756,t,3.3010445999971125,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
24,80,48,0,18,18,22,85.91040459999931,86.91085480000038,86.91085480000038,86.91085480000038,l,2.140565299996524,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
30,37,90,0,19,19,19,89.07808769999974,90.0783926999975,90.0783926999975,90.0783926999975,l,2.0097991000002366,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
37,23,64,0,20,20,14,92.11201749999964,93.11235559999841,93.11235559999841,93.11235559999841,t,3.001255499999388,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
25,46,66,0,21,21,16,96.12979009999981,97.1303853999998,97.1303853999998,97.1303853999998,l,2.485328999999183,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
73,79,33,0,22,22,24,99.64755189999778,100.63134519999949,100.63134519999949,100.64786900000036,l,2.810084000000643,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
1,11,8,0,23,23,12,103.46508439999889,104.46559229999912,104.46559229999912,104.46559229999912,l,1.8672044999984792,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
77,93,42,0,24,24,13,106.34925519999888,107.34975549999945,107.34975549999945,107.34975549999945,l,2.1432423000005656,None,521500,001,2023-11-22_22h21.08.468,DelayDiscounting,2023.1.3,59.97994270674036,
